"t","year","policy","baseline","impacts","cooperation","disnt","prstp","emi_ind","gmt_increase","cum_co2_emi","emi_tot","forcing"
1,2015,"BASE","ssp1","OFF","noncoop-pop",NA,0.015,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"BASE","ssp2","OFF","noncoop-pop",NA,0.015,35.0331107941942,0.85,0,38.0498074553832,2.40826608201559
1,2015,"BASE","ssp3","OFF","noncoop-pop",NA,0.015,35.0232221515744,0.85,0,38.0399188127634,2.40826608201559
1,2015,"BASE","ssp4","OFF","noncoop-pop",NA,0.015,34.9438034451269,0.85,0,37.9605001063159,2.40826608201559
1,2015,"BASE","ssp5","OFF","noncoop-pop",NA,0.015,35.0432675496669,0.85,0,38.0599642108559,2.40826608201559
1,2015,"BAU","ssp1","BHM-LR",NA,NA,0.015,34.9420944578594,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp1","BHM-LRdiff",NA,NA,0.015,34.9420944578594,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp1","BHM-SR",NA,NA,0.015,34.9420944578594,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp1","BHM-SRdiff",NA,NA,0.015,34.9420944578594,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp1","DJO",NA,NA,0.015,34.9420944578594,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp1","KAHN",NA,NA,0.015,34.9420944578594,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp2","BHM-LR",NA,NA,0.015,35.0331107941942,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp2","BHM-LRdiff",NA,NA,0.015,35.0331107941942,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp2","BHM-SR",NA,NA,0.015,35.0331107941942,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp2","BHM-SRdiff",NA,NA,0.015,35.0331107941942,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp2","DJO",NA,NA,0.015,35.0331107941942,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp2","KAHN",NA,NA,0.015,35.0331107941942,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp3","BHM-LR",NA,NA,0.015,35.0232221515744,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp3","BHM-LRdiff",NA,NA,0.015,35.0232221515744,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp3","BHM-SR",NA,NA,0.015,35.0232221515744,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp3","BHM-SRdiff",NA,NA,0.015,35.0232221515744,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp3","DJO",NA,NA,0.015,35.0232221515744,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp3","KAHN",NA,NA,0.015,35.0232221515744,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp4","BHM-LR",NA,NA,0.015,34.9438034451269,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp4","BHM-LRdiff",NA,NA,0.015,34.9438034451269,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp4","BHM-SR",NA,NA,0.015,34.9438034451269,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp4","BHM-SRdiff",NA,NA,0.015,34.9438034451269,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp4","DJO",NA,NA,0.015,34.9438034451269,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp4","KAHN",NA,NA,0.015,34.9438034451269,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp5","BHM-LR",NA,NA,0.015,35.0432675496669,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp5","BHM-LRdiff",NA,NA,0.015,35.0432675496669,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp5","BHM-SR",NA,NA,0.015,35.0432675496669,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp5","BHM-SRdiff",NA,NA,0.015,35.0432675496669,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp5","DJO",NA,NA,0.015,35.0432675496669,0.85,0,0,2.40826608201559
1,2015,"BAU","ssp5","KAHN",NA,NA,0.015,35.0432675496669,0.85,0,0,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","coop-pop",0,0.001,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","coop-pop",0,0.015,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","coop-pop",0,0.03,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","coop-pop",0.5,0.001,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","coop-pop",0.5,0.015,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","coop-pop",0.5,0.03,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","coop-pop",1.45,0.001,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","coop-pop",1.45,0.015,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","coop-pop",1.45,0.03,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","coop-pop",2,0.001,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","coop-pop",2,0.015,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","coop-pop",2,0.03,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","noncoop-pop",NA,0.001,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","noncoop-pop",NA,0.015,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LR","noncoop-pop",NA,0.03,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","coop-pop",0,0.001,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","coop-pop",0,0.015,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","coop-pop",0,0.03,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","coop-pop",0.5,0.001,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
1,2015,"CBA","ssp1","BHM-LRdiff","coop-pop",0.5,0.015,34.9420944578594,0.85,0,37.9587911190484,2.40826608201559
