,YEAR,EIND,TATM,iter,orig_sol,sim_ssp,sim_damages,sim_ecs
0,2015,35.02322216426399,0.85,0,Welfare,3,6,2.500000
1,2020,38.755728940449,1.1181170528,0,Welfare,3,6,2.500000
2,2025,33.941401817176796,1.2612796639,0,Welfare,3,6,2.500000
3,2030,26.6287286105085,1.3829744546,0,Welfare,3,6,2.500000
4,2035,18.1912389880898,1.4763318988,0,Welfare,3,6,2.500000
5,2040,10.721912451140902,1.5372001505,0,Welfare,3,6,2.500000
6,2045,5.5793354048797,1.56536903,0,Welfare,3,6,2.500000
7,2050,5.074785167424361,1.5669705235,0,Welfare,3,6,2.500000
8,2055,4.65228451755426,1.5523055327,0,Welfare,3,6,2.500000
9,2060,4.14629255679622,1.5393855247,0,Welfare,3,6,2.500000
10,2065,3.7974861492510215,1.5298991037,0,Welfare,3,6,2.500000
11,2070,3.5768135269270305,1.5224735019,0,Welfare,3,6,2.500000
12,2075,3.3980940126361814,1.5166283305,0,Welfare,3,6,2.500000
13,2080,3.2097915207662777,1.5122197293,0,Welfare,3,6,2.500000
14,2085,2.9960691548385294,1.5089991634,0,Welfare,3,6,2.500000
15,2090,2.7346304594819206,1.5066185175,0,Welfare,3,6,2.500000
16,2095,2.42530893688241,1.5047362557,0,Welfare,3,6,2.500000
17,2100,2.1285881804235793,1.5029869833,0,Welfare,3,6,2.500000
18,2105,1.787547710829529,1.5010442967,0,Welfare,3,6,2.500000
19,2110,1.4327139384224195,1.4988419011,0,Welfare,3,6,2.500000
20,2115,1.0507338898542495,1.4961463911,0,Welfare,3,6,2.500000
21,2120,0.6667614052276305,1.4928260954,0,Welfare,3,6,2.500000
22,2125,0.29900865378750974,1.4887222687,0,Welfare,3,6,2.500000
23,2130,-0.03612589341999024,1.4837734537,0,Welfare,3,6,2.500000
24,2135,-0.17784159641882216,1.4780018399,0,Welfare,3,6,2.500000
25,2140,-0.2654139429132599,1.4714987386,0,Welfare,3,6,2.500000
26,2145,-0.3295986957822097,1.4649661595,0,Welfare,3,6,2.500000
27,2150,-0.3702616400978602,1.4586239488,0,Welfare,3,6,2.500000
28,2155,-0.3469883801413006,1.4524937675,0,Welfare,3,6,2.500000
29,2160,-0.3174215489289704,1.4465847282,0,Welfare,3,6,2.500000
30,2165,-0.2853295189521701,1.4410747466,0,Welfare,3,6,2.500000
31,2170,-0.2554019089725898,1.4359460782,0,Welfare,3,6,2.500000
32,2175,-0.22835344486612058,1.4311481097,0,Welfare,3,6,2.500000
33,2180,-0.2027798376933201,1.4266211764,0,Welfare,3,6,2.500000
34,2185,-0.17615616377491952,1.422312922,0,Welfare,3,6,2.500000
35,2190,-0.14591939245626936,1.4181857585,0,Welfare,3,6,2.500000
36,2195,-0.10181741300594999,1.4142193792,0,Welfare,3,6,2.500000
37,2200,0.056351765379190066,1.4104089414,0,Welfare,3,6,2.500000
38,2205,0.23990657692109024,1.4067930737,0,Welfare,3,6,2.500000
39,2210,0.4125934903223406,1.4038047911,0,Welfare,3,6,2.500000
40,2215,0.5784138233218802,1.4015605906,0,Welfare,3,6,2.500000
41,2220,0.7419893748675699,1.3999832203,0,Welfare,3,6,2.500000
42,2225,0.90215385708576,1.3989983162,0,Welfare,3,6,2.500000
43,2230,1.0575927862062697,1.3985644255,0,Welfare,3,6,2.500000
44,2235,1.21212450767984,1.398648137,0,Welfare,3,6,2.500000
45,2240,1.3692371063632198,1.399216602,0,Welfare,3,6,2.500000
46,2245,1.5313205865454798,1.4002553067,0,Welfare,3,6,2.500000
47,2250,1.7051676813929595,1.4017674065,0,Welfare,3,6,2.500000
48,2255,1.8943162381593295,1.4037675905,0,Welfare,3,6,2.500000
49,2260,2.10492274070171,1.406297471,0,Welfare,3,6,2.500000
50,2265,2.3459265670027287,1.4094133766,0,Welfare,3,6,2.500000
51,2270,2.63284533328426,1.4131939398,0,Welfare,3,6,2.500000
52,2275,2.9923138511707803,1.4177508871,0,Welfare,3,6,2.500000
53,2280,3.4770252650279097,1.4232540335,0,Welfare,3,6,2.500000
54,2285,4.22181720177626,1.4299737868,0,Welfare,3,6,2.500000
55,2290,5.642704304792212,1.4383800831,0,Welfare,3,6,2.500000
56,2295,5.550022831492683,1.4494558456,0,Welfare,3,6,2.500000
57,2300,5.31029322225205,1.4657699086,0,Welfare,3,6,2.500000
58,2015,35.04326754965099,0.85,1,Inequality,5,5,2.500000
59,2020,37.763445711626,1.1181170528,1,Inequality,5,5,2.500000
60,2025,34.642051304682,1.2613545248,1,Inequality,5,5,2.500000
61,2030,30.137545484509506,1.3794626438,1,Inequality,5,5,2.500000
62,2035,23.112584752601595,1.4750984681,1,Inequality,5,5,2.500000
63,2040,14.856429168636598,1.5486248911,1,Inequality,5,5,2.500000
64,2045,8.532907688015401,1.5947607467,1,Inequality,5,5,2.500000
65,2050,9.399891200848801,1.6112537692,1,Inequality,5,5,2.500000
66,2055,10.167465683712203,1.6063865227,1,Inequality,5,5,2.500000
67,2060,10.519409988361934,1.6071692413,1,Inequality,5,5,2.500000
68,2065,10.959977392220672,1.6158123819,1,Inequality,5,5,2.500000
69,2070,11.12519343764829,1.6295165848,1,Inequality,5,5,2.500000
70,2075,10.96119098894203,1.6471723583,1,Inequality,5,5,2.500000
71,2080,10.449946609029501,1.6670640893,1,Inequality,5,5,2.500000
72,2085,9.603278928742322,1.6874995702,1,Inequality,5,5,2.500000
73,2090,8.430959898871599,1.7069524331,1,Inequality,5,5,2.500000
74,2095,6.974738482434699,1.7241121005,1,Inequality,5,5,2.500000
75,2100,5.295359781891398,1.7378238081,1,Inequality,5,5,2.500000
76,2105,3.4750058040367993,1.7471472198,1,Inequality,5,5,2.500000
77,2110,1.5993993112436005,1.7513932393,1,Inequality,5,5,2.500000
78,2115,-0.29091866850710035,1.7501712792,1,Inequality,5,5,2.500000
79,2120,-2.1273212491721996,1.7433828996,1,Inequality,5,5,2.500000
80,2125,-3.83423410038419,1.7310483824,1,Inequality,5,5,2.500000
81,2130,-5.35824722275894,1.7133814834,1,Inequality,5,5,2.500000
82,2135,-6.239930314333,1.6908303722,1,Inequality,5,5,2.500000
83,2140,-6.860931551149198,1.6640107757,1,Inequality,5,5,2.500000
84,2145,-7.344828132600601,1.635179023,1,Inequality,5,5,2.500000
85,2150,-7.68665459972693,1.6053531423,1,Inequality,5,5,2.500000
86,2155,-7.8884872279380875,1.5748835773,1,Inequality,5,5,2.500000
87,2160,-7.958248713394401,1.5440839368,1,Inequality,5,5,2.500000
88,2165,-7.907625711267402,1.5133027967,1,Inequality,5,5,2.500000
89,2170,-7.754760623838601,1.4828981758,1,Inequality,5,5,2.500000
90,2175,-7.516873412442299,1.4532097275,1,Inequality,5,5,2.500000
91,2180,-7.203446571494699,1.4245246501,1,Inequality,5,5,2.500000
92,2185,-6.8319487817183,1.3970743645,1,Inequality,5,5,2.500000
93,2190,-6.4230318681527,1.3710636134,1,Inequality,5,5,2.500000
94,2195,-5.989347101706701,1.3466406163,1,Inequality,5,5,2.500000
95,2200,-5.3485503384926,1.323878501,1,Inequality,5,5,2.500000
96,2205,-4.505613276402801,1.3028051126,1,Inequality,5,5,2.500000
97,2210,-3.7487545246122997,1.2841983281,1,Inequality,5,5,2.500000
98,2215,-3.0589655828356994,1.2688960648,1,Inequality,5,5,2.500000
99,2220,-2.434137143828999,1.2565226271,1,Inequality,5,5,2.500000
100,2225,-1.8749816657996998,1.2466446769,1,Inequality,5,5,2.500000
101,2230,-1.3732484286778996,1.2388870668,1,Inequality,5,5,2.500000
102,2235,-0.9188515211607,1.232917939,1,Inequality,5,5,2.500000
103,2240,-0.5053720401457602,1.2284692099,1,Inequality,5,5,2.500000
104,2245,-0.12503854040831597,1.2253366695,1,Inequality,5,5,2.500000
105,2250,0.23270918270979962,1.2233572089,1,Inequality,5,5,2.500000
106,2255,0.5737856916121099,1.222407151,1,Inequality,5,5,2.500000
107,2260,0.9023555892410005,1.2224110209,1,Inequality,5,5,2.500000
108,2265,1.2343746160651379,1.2233209517,1,Inequality,5,5,2.500000
109,2270,1.5783403663375102,1.2251055262,1,Inequality,5,5,2.500000
110,2275,1.9664521005471105,1.227796823,1,Inequality,5,5,2.500000
111,2280,2.4292261136472497,1.2314629966,1,Inequality,5,5,2.500000
112,2285,3.07123309421007,1.2362994323,1,Inequality,5,5,2.500000
113,2290,7.121317894042971,1.2426261993,1,Inequality,5,5,2.500000
114,2295,9.880857549192868,1.2511797348,1,Inequality,5,5,2.500000
115,2300,10.48233095363837,1.2757529572,1,Inequality,5,5,2.500000
116,2015,34.942094457051,0.85,2,Temperature,1,2,2.500000
117,2020,34.980578784744004,1.1181170528,2,Temperature,1,2,2.500000
118,2025,29.01910216951019,1.2609766632,2,Temperature,1,2,2.500000
119,2030,22.453848247081098,1.3689687179,2,Temperature,1,2,2.500000
120,2035,15.127828879222001,1.4440770699,2,Temperature,1,2,2.500000
121,2040,7.2442069016538975,1.4901841328,2,Temperature,1,2,2.500000
122,2045,0.55824599687923,1.5085936171,2,Temperature,1,2,2.500000
123,2050,0.47618956903669,1.4994370916,2,Temperature,1,2,2.500000
124,2055,0.42838125070224004,1.4679439224,2,Temperature,1,2,2.500000
125,2060,0.10054933687544101,1.4392270241,2,Temperature,1,2,2.500000
126,2065,-0.24735762672665,1.4158247597,2,Temperature,1,2,2.500000
127,2070,-0.6050000744513508,1.3955079596,2,Temperature,1,2,2.500000
